Hours_Studied,Pass
3.745401188473625,0
9.50714306409916,1
7.319939418114051,1
5.986584841970366,1
1.5601864044243652,0
1.5599452033620265,0
0.5808361216819946,0
8.661761457749352,1
6.011150117432088,1
7.080725777960454,1
0.20584494295802447,0
9.699098521619943,1
8.324426408004218,1
2.1233911067827616,0
1.8182496720710062,0
1.8340450985343382,0
3.0424224295953772,0
5.247564316322379,1
4.319450186421157,0
2.9122914019804194,0
6.118528947223795,1
1.3949386065204183,0
2.9214464853521815,0
3.663618432936917,0
4.56069984217036,0
7.851759613930136,1
1.9967378215835974,0
5.142344384136116,0
5.924145688620425,1
0.46450412719997725,0
6.075448519014383,1
1.7052412368729153,0
0.6505159298527952,0
9.488855372533333,1
9.656320330745594,1
8.08397348116461,1
3.0461376917337066,0
0.9767211400638387,0
6.842330265121569,1
4.4015249373960135,0
1.2203823484477883,0
4.951769101112702,0
0.34388521115218396,0
9.093204020787821,1
2.587799816000169,0
6.62522284353982,1
3.1171107608941098,0
5.200680211778108,0
5.4671027934327965,1
1.8485445552552704,0
9.695846277645586,1
7.7513282336111455,1
9.394989415641891,1
8.948273504276488,1
5.978999788110851,1
9.218742350231167,1
0.884925020519195,0
1.959828624191452,0
0.45227288910538066,0
3.2533033076326436,0
3.8867728968948203,0
2.713490317738959,0
8.287375091519294,1
3.567533266935893,0
2.8093450968738076,0
5.426960831582485,1
1.4092422497476265,0
8.021969807540398,1
0.7455064367977082,0
9.868869366005173,1
7.722447692966574,1
1.987156815341724,0
0.05522117123602399,0
8.154614284548341,1
7.068573438476172,1
7.2900716804098735,1
7.712703466859457,1
0.7404465173409036,0
3.5846572854427263,0
1.1586905952512971,0
8.631034258755935,1
6.232981268275579,1
3.308980248526492,0
0.6355835028602363,0
3.109823217156622,0
3.2518332202674705,0
7.29606178338064,1
6.3755747135521315,1
8.872127425763265,1
4.722149251619493,0
1.195942459383017,0
7.13244787222995,1
7.607850486168974,1
5.612771975694963,1
7.70967179954561,1
4.937955963643907,0
5.227328293819941,1
4.275410183585496,0
0.2541912674409519,0
1.0789142699330445,0
